Item Name,SKU,Price,Ratings
Samsung - 25.5 Cu. Ft. French Door Fingerprint Resistant Refrigerator with Internal Water Dispenser - Black stainless steel,5580274 ,"$1,349.99","Rating, 4.5 out of 5 with 4002 reviews"
LG - 22.1 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless steel,6292038 ,"$1,699.99","Rating, 4.6 out of 5 with 51 reviews"
LG - 29.7 Cu. Ft. 4-Door French InstaView Door-in-Door Smart Wi-Fi Enabled Refrigerator - Stainless steel,5736201 ,"$3,023.99","Rating, 4.7 out of 5 with 585 reviews"
GE - Profile Series 27.9 Cu. Ft. Smart Fingerprint Resistant 4-Door French-Door Refrigerator with Door In Door - Stainless steel,6368988 ,"$2,399.99","Rating, 3.8 out of 5 with 18 reviews"
Samsung - 25.5 Cu. Ft. French Door Refrigerator with Filtered Ice Maker - Stainless steel,6451277 ,"$1,199.99","Rating, 4.5 out of 5 with 1059 reviews"
LG - 26.2 Cu. Ft. French Door Smart Wi-Fi Enabled Refrigerator with Dual Ice Maker - PrintProof Black Stainless Steel,6250124 ,"$1,699.99","Rating, 4.7 out of 5 with 582 reviews"
LG - 22.8 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless steel,6292046 ,"$1,499.99","Rating, 4.6 out of 5 with 110 reviews"
LG - 21.9 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator - Stainless steel,6292042 ,"$1,999.99","Rating, 4.5 out of 5 with 16 reviews"
New!Samsung - 25.1 Cu. Ft. French Door Refrigerator with Family Hub - Stainless steel,6402435 ,"$1,799.99","Rating, 5 out of 5 with 4 reviews"
LG - 29.7 Cu. Ft. French InstaView Door-in-Door Refrigerator with Craft Ice - Stainless steel,6328097 ,"$2,999.99","Rating, 4.7 out of 5 with 49 reviews"
New!LG - 29.5 Cu. Ft. 4-Door French Door Refrigerator with InstaView Door-in-Door and Craft Ice - PrintProof Black Stainless Steel,6397183 ,"$3,299.99","Rating, 5 out of 5 with 4 reviews"
LG - 29.7 Cu. Ft. French InstaView Door-in-Door Refrigerator with Craft Ice - Black stainless steel,6328099 ,"$2,999.99","Rating, 4.7 out of 5 with 49 reviews"
Samsung - Family Hub 27.7 Cu. Ft. 4-Door French Door  Fingerprint Resistant Refrigerator - Black stainless steel,6355745 ,"$2,799.99","Rating, 4.6 out of 5 with 179 reviews"
Samsung - Family Hub 22 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator - Black stainless steel,6196206 ,"$3,099.99","Rating, 4.5 out of 5 with 213 reviews"
GE - 24.8 Cu. Ft. French Door Refrigerator - Stainless steel,5003906 ,"$1,709.99","Rating, 4.5 out of 5 with 406 reviews"
Samsung - Family Hub 22.2 Cu. Ft. 4-Door French Door Counter-Depth Fingerprint Resistant Refrigerator - Black stainless steel,6355747 ,"$2,899.99","Rating, 4.6 out of 5 with 129 reviews"
LG - 27.9 French Door Smart Wi-Fi Enabled Refrigerator - Stainless steel,5968300 ,"$1,799.99","Rating, 4.5 out of 5 with 865 reviews"
